,id,name,transcription-direction,product,region,synonym,regulation,component,locus_tag
0,ECOLI:EG10001,alr,+,Protein,"(4265782, 4266861)",alr5,,TU0-14670; TU0-14120,b4053
1,ECOLI:EG10002,modB,+,Protein,"(795862, 796551)",chlJ; tslJ,,TU0-14276; TU00301,b0764
2,ECOLI:EG10003,cysZ,+,Protein,"(2531463, 2532224)",,,TU0-13622,b2413
3,ECOLI:EG10004,dfp,+,Protein,"(3812731, 3813951)",coaBC,,TU0-14356,b3639
4,ECOLI:EG10006,dcuB,-,Protein,"(4347404, 4348744)",genF,REG0-14048; Transcription-Factor-Binding; REG0-14047; Transcription-Factor-Binding; REG0-14046; Transcription-Factor-Binding,TU0-4562; TU00468,b4123
5,ECOLI:EG10007,hisM,-,Protein,"(2424517, 2425233)",,,TU0-14415; TU0-3581,b2307
6,ECOLI:EG10008,zraS,+,Protein,"(4201926, 4203323)",hydH,,TU783,b4003
7,ECOLI:EG10010,rhsE,+,RhsE protein in rhs element,"(1527890, 1529938)",,,TU0-13276,b1456
8,ECOLI:EG10011,yaaA,-,Protein,"(5683, 6459)",,,TU0-12788,b0006
9,ECOLI:EG10012,cydC,-,Protein,"(927474, 929195)",mdrA; mdrH; surB; ycaB,REG0-15430; Transcription-Factor-Binding,TU00254,b0886
10,ECOLI:EG10013,mepM,-,Protein,"(1940313, 1941635)",yebA,,TU0-14369,b1856
11,ECOLI:EG10014,acrD,+,Protein,"(2587595, 2590708)",yffA,,TU0-14793; TU0-8021,b2470
12,ECOLI:EG10015,rodZ,-,Protein,"(2641831, 2642844)",yfgA,,TU0-14347,b2516
13,ECOLI:EG10016,garL,-,Protein,"(3272787, 3273557)",yhaF,,TU482,b3126
14,ECOLI:EG10017,ispB,+,Protein,"(3333710, 3334681)",cel; yhbD,,TU0-13885,b3187
15,ECOLI:EG10018,csrD,-,Protein,"(3401392, 3403332)",yhdA,,TU0-13904,b3252
16,ECOLI:EG10020,cpxR,-,Protein,"(4104972, 4105670)",yiiA,,TU0-45281; TU0-3,b3912
17,ECOLI:EG10021,yjiA,-,Protein,"(4587909, 4588865)",,REG0-11872; RNA-Mediated-Translation-Regulation,TU0-14208,b4352
18,ECOLI:EG10022,aceA,+,Protein,"(4217109, 4218413)",icl,,TU00001,b4015
19,ECOLI:EG10023,aceB,+,Protein,"(4215478, 4217079)",mas,REG0-16298; Transcription-Factor-Binding; REG0-14425; Transcription-Factor-Binding; REG0-14365; Transcription-Factor-Binding; REG0-14364; Transcription-Factor-Binding,TU00001,b4014
20,ECOLI:EG10024,aceE,+,Protein,"(123017, 125680)",,,TU0-45254; TU0-45222; TU0-6634; TU00522,b0114
21,ECOLI:EG10025,aceF,+,Protein,"(125695, 127587)",,,TU0-45254; TU0-45222; TU0-6634; TU00522,b0115
22,ECOLI:EG10026,aceK,+,Protein,"(4218596, 4220332)",,,TU0-14503; TU00001,b4016
23,ECOLI:EG10027,ackA,+,Protein,"(2413470, 2414672)",,REG0-13181; RNA-Mediated-Translation-Regulation,TU0-8301; TU00385,b2296
24,ECOLI:EG10028,pflA,-,Protein,"(950340, 951080)",act,,TU0-13083,b0902
25,ECOLI:EG10029,ada,-,Protein,"(2309341, 2310405)",,,TU0-45248; TU00072,b2213
26,ECOLI:EG10030,add,+,Protein,"(1702233, 1703234)",,,TU0-13350,b1623
27,ECOLI:EG10031,adhE,-,Protein,"(1295446, 1298121)",adhC; ana,REG0-16297; Transcription-Factor-Binding; REG0-16141; Transcription-Factor-Binding; REG0-15388; Transcription-Factor-Binding; REG0-14324; Transcription-Factor-Binding,TU0-45181; TU546; TU00198,b1241
28,ECOLI:EG10032,adk,+,Protein,"(497175, 497819)",dnaW; plsA,,TU0-6481,b0474
29,ECOLI:EG10033,agp,+,Protein,"(1065585, 1066826)",,,TU0-7401,b1002
